"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Gerenciamento de Usuários","Operações CRUD de Usuários"," Atualizar Usuário","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Validação de Token","0","0","1","0","0"
"Gerenciamento de Usuários","Operações CRUD de Usuários"," Listar Usuários","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Busca de Usuário","0","0","2","0","0"
"Sistema de Autenticação","Login e Validação JWT","Login com Email Inexistente","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Login com Email Malformado","0","0","1","0","0"
"Gerenciamento de Usuários","Operações CRUD de Usuários","Criar Usuário","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Validação de Campos Obrigatórios","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Validação de Token Malformado","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Exclusão de Usuário","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Login com Campos Obrigatórios Vazios","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos"," Segurança de Exclusão","0","0","1","0","0"
"Gerenciamento de Usuários","Operações CRUD de Usuários","Criar Usuário Administrador","0","0","1","0","0"
"Gerenciamento de Usuários","Operações CRUD de Usuários"," Buscar Usuário por ID","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Uso de Token JWT Válido","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Login com Senha Incorreta","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Segurança de Atualização","0","0","1","0","0"
"Gerenciamento de Usuários","Operações CRUD de Usuários","Excluir Usuário","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Validação de Duplicação de Email","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Login com Credenciais Válidas","0","0","1","0","0"
"Gerenciamento de Usuários","Testes de Cenários Negativos","Validação de Email","0","0","1","0","0"
"Sistema de Autenticação","Login e Validação JWT","Validação de Token Expirado","0","0","1","0","0"
